234 111
    2147483647    0    1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64    65    66    67    68    69    70    71    72    73    74    75    76    77    78    79    80    81    82    83    84    -999    -998    -997    -996    -995    -994    -993    -992    -991    -990    -989    -988    -987    -986    -985    -984    -983    -982    -981    -980    -979    -978    -977    -976    -975
* * s126 * * s127 * * * * * * * * * s128 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s129 * * * * * s133 * * * * * s131 * * * * s132 * * * * * * * * * 
* * s126 * * s127 * * * * * * * * * s128 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s129 * * * * * s134 * * * * * s131 * * * * s132 * * * * * * * * * 
* * s126 * * s127 * * * * * * * * * s128 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s129 * * * * * s135 * * * * * s131 * * * * s132 * * * * * * * * * 
* * s126 * * s127 * * * * * * * * * s128 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s129 * * * * * s136 * * * * * s131 * * * * s132 * * * * * * * * * 
* * s126 * * s127 * * * * * * * * * s128 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s129 * * * * * s137 * * * * * s131 * * * * s132 * * * * * * * * * 
* * * * * * * * * * * r6 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s138 * * * * * * * * * * * * * * * * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * * * * * * * s65 * * * * s139 * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * * * * * * * s65 * * * * s140 * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * s141 * * * * * s65 * * * * s66 * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * s142 * * * * * s65 * * * * s66 * * * * * * * * * 
* * * * * * * * * * * * * * * * * r47 r47 r47 r47 * * * r47 r47 r47 r47 r47 r47 * * * * * * * * * * * * * * * * * * * * * r47 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * r45 r45 r45 r45 r45 * * * r45 r45 r45 r45 r45 r45 * * * * * * * * * * * * * * * * * * * * r45 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * r46 r46 r46 r46 r46 * * * r46 r46 r46 r46 r46 r46 * * * * * * * * * * * * * * * * * * * * r46 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
* * s59 * * s60 * * * * * * * * * s61 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * s62 * * * * * s63 * * * * s143 s65 * * * * s66 * * * * * * * * * 
