状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<A>,<M>,<N>,<Program>,<S>,<if语句>,<relop>,<return语句>,<while语句>,<内部变量声明>,<内部声明>,<内部数组声明>,<函数声明>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参列表>,<形参>,<数组>,<表达式>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<项>,
122, ,s84, , , , , , , , , , , , , ,s85, , , , , , ,s83, , , , , , , , , , , , , , , , , , , ,80, , , ,82, , , , , , ,163, , , , , ,81,
123, ,s164, ,r54,r54, ,r54,r54,r54, , , , , , , ,s166, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,165, , , , , , , ,
124,r47, , , , , , , ,r47,r47,r47, ,r47,r47,r47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
125,r46, , , ,s95, ,s96, ,r46,r46,r46, ,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
126,r48, , , , , , , ,r48,r48,r48, ,r48,r48,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
127,r50, , , ,r50, ,r50, ,r50,r50,r50, ,r50,r50,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
128,r51, , , ,r51, ,r51, ,r51,r51,r51, ,r51,r51,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
129,r53, , ,r53,r53, ,r53,r53,r53,r53,r53, ,r53,r53,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
130, , ,s167, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
131, , ,r56, , ,s168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
132,s94, ,r38, , ,r38, , , ,s89,s90, ,s93,s91,s92, , , , , , , , , , , , , , , , , , , , ,169, , , , , , , , , , , , , , , , , , , , , , , , ,
133,r46, ,r46, ,s170,r46,s171, , ,r46,r46, ,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
